"","SPECIES","SITE","ID","SEX","TREAT","FWL","REL_DATE","COND_0","RECAP_DATE","NRECAP","COND","BEH","TIME","NOTEBOOK"
"1","Pontia_occidentalis","Corfu_WA",12,"F","Y",2.6,1991-07-16,"1",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"2","Pontia_occidentalis","Corfu_WA",14,"M","Y",2.6,1991-07-16,"2",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"3","Pontia_occidentalis","Corfu_WA",1,"F","B",2.8,1991-07-16,"2",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"4","Pontia_occidentalis","Corfu_WA",16,"M","Y",2.4,1991-07-16,"2",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"5","Pontia_occidentalis","Corfu_WA",3,"F","B",2.8,1991-07-16,"2",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"6","Pontia_occidentalis","Corfu_WA",2,"F","Y",2.5,1991-07-16,"2",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"7","Pontia_occidentalis","Corfu_WA",5,"M","B",2.3,1991-07-16,"3",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"8","Pontia_occidentalis","Corfu_WA",4,"F","Y",2.7,1991-07-16,"1",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"9","Pontia_occidentalis","Corfu_WA",9,"M","B",2.7,1991-07-16,"2",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"10","Pontia_occidentalis","Corfu_WA",18,"F","Y",2.5,1991-07-16,"1",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"11","Pontia_occidentalis","Corfu_WA",20,"M","Y",2.5,1991-07-16,"3",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"12","Pontia_occidentalis","Corfu_WA",7,"F","B",2.6,1991-07-16,"1",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"13","Pontia_occidentalis","Corfu_WA",6,"M","Y",2.5,1991-07-16,"2",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"14","Pontia_occidentalis","Corfu_WA",11,"F","B",2.6,1991-07-16,"1",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"15","Pontia_occidentalis","Corfu_WA",8,"F","Y",2.3,1991-07-16,"4",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"16","Pontia_occidentalis","Corfu_WA",13,"M","B",2.2,1991-07-16,"1",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"17","Pontia_occidentalis","Corfu_WA",10,"M","Y",2.6,1991-07-16,"4",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"18","Pontia_occidentalis","Corfu_WA",15,"M","B",2.2,1991-07-16,"3",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"19","Pontia_occidentalis","Corfu_WA",22,"F","Y",2.7,1991-07-16,"1",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"20","Pontia_occidentalis","Corfu_WA",17,"F","B",2.7,1991-07-16,"2",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"21","Pontia_occidentalis","Corfu_WA",24,"M","Y",2.6,1991-07-16,"1",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"22","Pontia_occidentalis","Corfu_WA",19,"M","B",2.3,1991-07-16,"1",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"23","Pontia_occidentalis","Corfu_WA",21,"F","B",2.5,1991-07-16,"1",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"24","Pontia_occidentalis","Corfu_WA",23,"F","B",2.7,1991-07-16,"1",197,0,NA,NA,NA,"Corfu.BY.1991_2"
"25","Pontia_occidentalis","Corfu_WA",52,"M","Y",2.3,1991-07-17,"4",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"26","Pontia_occidentalis","Corfu_WA",71,"F","B",2.6,1991-07-17,"2",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"27","Pontia_occidentalis","Corfu_WA",36,"M","Y",2.4,1991-07-17,"3",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"28","Pontia_occidentalis","Corfu_WA",41,"M","B",2.6,1991-07-17,"3",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"29","Pontia_occidentalis","Corfu_WA",50,"M","Y",2.8,1991-07-17,"3",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"30","Pontia_occidentalis","Corfu_WA",35,"F","B",2.5,1991-07-17,"3",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"31","Pontia_occidentalis","Corfu_WA",82,"F","Y",2.4,1991-07-17,"4",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"32","Pontia_occidentalis","Corfu_WA",96,"M","Y",2.4,1991-07-17,"4",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"33","Pontia_occidentalis","Corfu_WA",31,"F","B",2.6,1991-07-17,"2",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"34","Pontia_occidentalis","Corfu_WA",68,"F","Y",2.5,1991-07-17,"3",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"35","Pontia_occidentalis","Corfu_WA",70,"M","Y",2.4,1991-07-17,"3",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"36","Pontia_occidentalis","Corfu_WA",94,"F","Y",2.4,1991-07-17,"3",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"37","Pontia_occidentalis","Corfu_WA",110,"M","Y",2.4,1991-07-17,"2",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"38","Pontia_occidentalis","Corfu_WA",72,"F","not released",NA,1991-07-17,"",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"39","Pontia_occidentalis","Corfu_WA",60,"M","Y",2.2,1991-07-17,"4",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"40","Pontia_occidentalis","Corfu_WA",57,"M","B",2.7,1991-07-17,"2",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"41","Pontia_occidentalis","Corfu_WA",56,"M","Y",2.5,1991-07-17,"4",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"42","Pontia_occidentalis","Corfu_WA",86,"M","Y",2.3,1991-07-17,"1",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"43","Pontia_occidentalis","Corfu_WA",66,"M","Y",2.6,1991-07-17,"1",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"44","Pontia_occidentalis","Corfu_WA",91,"M","B",2.5,1991-07-17,"2",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"45","Pontia_occidentalis","Corfu_WA",42,"M","Y",1.8,1991-07-17,"4",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"46","Pontia_occidentalis","Corfu_WA",99,"F","B",2.1,1991-07-17,"2",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"47","Pontia_occidentalis","Corfu_WA",88,"F","Y",2.7,1991-07-17,"3",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"48","Pontia_occidentalis","Corfu_WA",48,"F","Y",2.6,1991-07-17,"3",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"49","Pontia_occidentalis","Corfu_WA",97,"M","B",2.7,1991-07-17,"3",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"50","Pontia_occidentalis","Corfu_WA",132,"F","Y",2.7,1991-07-17,"3",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"51","Pontia_occidentalis","Corfu_WA",67,"M","B",2.5,1991-07-17,"2",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"52","Pontia_occidentalis","Corfu_WA",136,"F","Y",2.4,1991-07-17,"1",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"53","Pontia_occidentalis","Corfu_WA",76,"F","Y",2.6,1991-07-17,"3",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"54","Pontia_occidentalis","Corfu_WA",93,"F","B",2.7,1991-07-17,"3",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"55","Pontia_occidentalis","Corfu_WA",104,"F","Y",2.6,1991-07-17,"4",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"56","Pontia_occidentalis","Corfu_WA",106,"M","Y",2.6,1991-07-17,"4",198,0,NA,NA,NA,"Corfu.BY.1991_2"
"57","Pontia_occidentalis","Corfu_WA",61,"M","B",2.6,1991-07-17,"4",198,0,NA,NA,NA,"Corfu.BY.1991_2"
