,SPECIES,SITE,ID,SEX,TREAT,FWL,BUT_WT,REL_DATE,COND_0,RECAP_DATE,NRECAP,BEH,TIME,NOTEBOOK
1,Pontia_occidentalis,Corfu_WA,1,F,CUT,2.2,0.66,1993-07-05,3,186,0,NA,NA,Corfu.CutWings.1993_2
2,Pontia_occidentalis,Corfu_WA,2,M,CTL,2.5,0.67,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
3,Pontia_occidentalis,Corfu_WA,3,F,CUT,2.2,1.11,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
4,Pontia_occidentalis,Corfu_WA,4,M,CTL,2.5,0.71,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
5,Pontia_occidentalis,Corfu_WA,5,M,CUT,2,0.76,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
6,Pontia_occidentalis,Corfu_WA,6,F,CTL,2.6,0.56,1993-07-05,4,186,0,NA,NA,Corfu.CutWings.1993_2
7,Pontia_occidentalis,Corfu_WA,7,M,CUT,2,0.7,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
8,Pontia_occidentalis,Corfu_WA,8,M,CTL,2.2,0.54,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
9,Pontia_occidentalis,Corfu_WA,9,M,CUT,2.1,0.64,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
10,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.6,0.62,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
11,Pontia_occidentalis,Corfu_WA,11,M,CUT,2.1,0.72,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
12,Pontia_occidentalis,Corfu_WA,12,F,CTL,2.7,1.21,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
13,Pontia_occidentalis,Corfu_WA,13,M,CUT,2.1,0.6,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
14,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.4,0.66,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
15,Pontia_occidentalis,Corfu_WA,15,F,CUT,2,0.65,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
16,Pontia_occidentalis,Corfu_WA,16,F,CTL,2.3,0.66,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
17,Pontia_occidentalis,Corfu_WA,17,F,CUT,2.3,0.72,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
18,Pontia_occidentalis,Corfu_WA,18,M,CTL,2.4,0.62,1993-07-05,3,186,0,NA,NA,Corfu.CutWings.1993_2
19,Pontia_occidentalis,Corfu_WA,19,F,CUT,2.1,0.77,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
20,Pontia_occidentalis,Corfu_WA,20,F,CTL,2.3,0.52,1993-07-05,3,186,0,NA,NA,Corfu.CutWings.1993_2
21,Pontia_occidentalis,Corfu_WA,21,M,CUT,2.1,0.67,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
22,Pontia_occidentalis,Corfu_WA,22,F,CTL,2.4,0.55,1993-07-05,4,186,0,NA,NA,Corfu.CutWings.1993_2
23,Pontia_occidentalis,Corfu_WA,24,M,CTL,2.3,0.65,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
24,Pontia_occidentalis,Corfu_WA,25,M,CUT,1.7,0.37,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
25,Pontia_occidentalis,Corfu_WA,26,F,CTL,2.5,0.82,1993-07-05,3,186,0,NA,NA,Corfu.CutWings.1993_2
26,Pontia_occidentalis,Corfu_WA,27,M,CUT,2.1,0.65,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
27,Pontia_occidentalis,Corfu_WA,28,M,CTL,2.6,0.67,1993-07-05,3,186,0,NA,NA,Corfu.CutWings.1993_2
28,Pontia_occidentalis,Corfu_WA,29,M,CUT,2,0.63,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
29,Pontia_occidentalis,Corfu_WA,30,F,CTL,2.3,0.72,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
30,Pontia_occidentalis,Corfu_WA,31,F,CUT,2.3,0.85,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
31,Pontia_occidentalis,Corfu_WA,32,M,CTL,2.2,0.59,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
32,Pontia_occidentalis,Corfu_WA,33,M,CUT,2.1,0.65,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
33,Pontia_occidentalis,Corfu_WA,34,M,CTL,2.3,0.53,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
34,Pontia_occidentalis,Corfu_WA,35,F,CUT,2.1,0.72,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
35,Pontia_occidentalis,Corfu_WA,36,F,CTL,2.6,0.98,1993-07-05,3,186,0,NA,NA,Corfu.CutWings.1993_2
36,Pontia_occidentalis,Corfu_WA,37,F,CUT,1.9,0.62,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
37,Pontia_occidentalis,Corfu_WA,38,F,CTL,2.4,0.66,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
38,Pontia_occidentalis,Corfu_WA,39,F,CUT,2,0.81,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
39,Pontia_occidentalis,Corfu_WA,40,F,CTL,2.7,1.11,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
40,Pontia_occidentalis,Corfu_WA,41,M,CUT,2,0.68,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
41,Pontia_occidentalis,Corfu_WA,42,M,CTL,2.3,0.72,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
42,Pontia_occidentalis,Corfu_WA,43,F,CUT,2.3,1.12,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
43,Pontia_occidentalis,Corfu_WA,44,M,CTL,2.3,0.58,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
44,Pontia_occidentalis,Corfu_WA,45,M,CUT,2.1,0.88,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
45,Pontia_occidentalis,Corfu_WA,46,M,CTL,2.5,0.6,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
46,Pontia_occidentalis,Corfu_WA,47,M,CUT,2.1,0.53,1993-07-05,3,186,0,NA,NA,Corfu.CutWings.1993_2
47,Pontia_occidentalis,Corfu_WA,48,M,CTL,2.5,0.59,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
48,Pontia_occidentalis,Corfu_WA,49,M,CUT,2.1,0.57,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
49,Pontia_occidentalis,Corfu_WA,50,F,CTL,2.3,0.67,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
50,Pontia_occidentalis,Corfu_WA,51,F,CUT,2.1,0.65,1993-07-05,4,186,0,NA,NA,Corfu.CutWings.1993_2
51,Pontia_occidentalis,Corfu_WA,52,F,CTL,2.4,0.7,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
52,Pontia_occidentalis,Corfu_WA,53,F,CUT,2,0.7,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
53,Pontia_occidentalis,Corfu_WA,54,F,CTL,2.2,0.48,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
54,Pontia_occidentalis,Corfu_WA,55,M,CUT,1.9,0.49,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
55,Pontia_occidentalis,Corfu_WA,56,M,CTL,2.5,0.77,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
56,Pontia_occidentalis,Corfu_WA,57,F,CUT,2.1,0.5,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
57,Pontia_occidentalis,Corfu_WA,58,M,CTL,2.4,0.84,1993-07-05,1,186,0,NA,NA,Corfu.CutWings.1993_2
58,Pontia_occidentalis,Corfu_WA,59,M,CUT,2,0.54,1993-07-05,2,186,0,NA,NA,Corfu.CutWings.1993_2
