RECNUM,ID,TREAT,SEX,FAM,FWL,AGE,WEAR,NRECAP,REL_DATE,COND_0,SPECIES,SITE,NOTEBOOK
1,1,LD,F,17,2.398875294,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
299,1,LD,F,17,2.398875294,2,3,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
300,1,LD,F,17,2.398875294,6,2,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
2,2,LD,M,17,2.501773799,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
301,2,LD,M,17,2.501773799,1,1,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
302,2,LD,M,17,2.501773799,1,2,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
303,2,LD,M,17,2.501773799,1,2,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
304,2,LD,M,17,2.501773799,1,1,4,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
305,2,LD,M,17,2.501773799,2,3,5,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
306,2,LD,M,17,2.501773799,2,3,6,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
307,2,LD,M,17,2.501773799,2,3,7,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
308,2,LD,M,17,2.501773799,2,2,8,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
3,3,LD,F,17,2.501773799,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
309,3,LD,F,17,2.501773799,1,1,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
310,3,LD,F,17,2.501773799,1,2,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
311,3,LD,F,17,2.501773799,1,2,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
312,3,LD,F,17,2.501773799,1,2,4,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
313,3,LD,F,17,2.501773799,2,3,5,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
314,3,LD,F,17,2.501773799,2,3,6,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
315,3,LD,F,17,2.501773799,2,3,7,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
316,3,LD,F,17,2.501773799,4,3,8,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
317,3,LD,F,17,2.501773799,4,3,9,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
4,4,LD,F,17,2.529445225,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
318,4,LD,F,17,2.529445225,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
319,4,LD,F,17,2.529445225,1,1,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
320,4,LD,F,17,2.529445225,1,3,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
321,4,LD,F,17,2.529445225,2,3,4,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
322,4,LD,F,17,2.529445225,2,3,5,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
323,4,LD,F,17,2.529445225,2,2,6,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
5,5,LD,M,17,2.506782354,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
324,5,LD,M,17,2.506782354,1,1,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
6,6,LD,F,17,2.476880734,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
325,6,LD,F,17,2.476880734,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
326,6,LD,F,17,2.476880734,1,3,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
327,6,LD,F,17,2.476880734,1,2,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
328,6,LD,F,17,2.476880734,1,2,4,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
7,7,LD,F,17,2.526917044,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
329,7,LD,F,17,2.526917044,2,3,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
330,7,LD,F,17,2.526917044,2,3,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
331,7,LD,F,17,2.526917044,2,3,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
8,8,LD,M,17,2.449784349,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
332,8,LD,M,17,2.449784349,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
9,9,LD,M,17,NA,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
10,10,LD,F,17,2.474405091,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
333,10,LD,F,17,2.474405091,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
334,10,LD,F,17,2.474405091,1,3,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
335,10,LD,F,17,2.474405091,1,1,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
336,10,LD,F,17,2.474405091,3,3,4,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
337,10,LD,F,17,2.474405091,10,5,5,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
11,11,LD,M,17,2.531975935,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
338,11,LD,M,17,2.531975935,1,1,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
339,11,LD,M,17,2.531975935,1,1,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
340,11,LD,M,17,2.531975935,2,2,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
341,11,LD,M,17,2.531975935,2,5,4,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
342,11,LD,M,17,2.531975935,2,1,5,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
343,11,LD,M,17,2.531975935,3,2,6,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
12,12,LD,F,15,2.365525036,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
344,12,LD,F,15,2.365525036,1,1,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
345,12,LD,F,15,2.365525036,2,2,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
346,12,LD,F,15,2.365525036,2,2,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
13,13,LD,M,15,NA,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
14,14,LD,M,15,NA,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
15,15,LD,F,15,2.365525036,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
347,15,LD,F,15,2.365525036,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
348,15,LD,F,15,2.365525036,3,5,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
16,16,LD,F,15,2.506782354,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
349,16,LD,F,15,2.506782354,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
350,16,LD,F,15,2.506782354,2,3,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
17,17,LD,M,15,2.210016541,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
351,17,LD,M,15,2.210016541,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
352,17,LD,M,15,2.210016541,2,2,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
353,17,LD,M,15,2.210016541,2,2,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
354,17,LD,M,15,2.210016541,2,2,4,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
18,18,LD,F,15,2.314051768,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
355,18,LD,F,15,2.314051768,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
356,18,LD,F,15,2.314051768,2,3,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
19,19,LD,F,15,NA,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
20,20,LD,F,15,2.363160694,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
357,20,LD,F,15,2.363160694,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
358,20,LD,F,15,2.363160694,2,3,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
359,20,LD,F,15,2.363160694,2,3,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
360,20,LD,F,15,2.363160694,2,3,4,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
21,21,LD,M,15,2.435129651,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
361,21,LD,M,15,2.435129651,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
362,21,LD,M,15,2.435129651,2,1,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
22,22,LD,F,15,2.552312982,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
363,22,LD,F,15,2.552312982,2,1,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
364,22,LD,F,15,2.552312982,3,2,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
23,23,LD,M,15,2.302510386,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
365,23,LD,M,15,2.302510386,1,1,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
366,23,LD,M,15,2.302510386,1,2,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
367,23,LD,M,15,2.302510386,2,3,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
368,23,LD,M,15,2.302510386,2,3,4,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
369,23,LD,M,15,2.302510386,3,3,5,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
370,23,LD,M,15,2.302510386,3,3,6,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
371,23,LD,M,15,2.302510386,3,4,7,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
372,23,LD,M,15,2.302510386,3,4,8,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
373,23,LD,M,15,2.302510386,3,4,9,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
24,24,LD,M,15,NA,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
25,25,LD,F,15,2.547213458,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
374,25,LD,F,15,2.547213458,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
375,25,LD,F,15,2.547213458,2,2,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
26,26,LD,M,15,NA,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
27,27,LD,F,15,2.466993,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
376,27,LD,F,15,2.466993,2,1,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
28,28,LD,F,15,NA,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
29,29,LD,F,9,2.544667517,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
377,29,LD,F,9,2.544667517,2,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
378,29,LD,F,9,2.544667517,2,3,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
379,29,LD,F,9,2.544667517,2,2,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
30,30,LD,M,9,2.457144737,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
380,30,LD,M,9,2.457144737,2,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
381,30,LD,M,9,2.457144737,2,2,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
382,30,LD,M,9,2.457144737,2,2,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
383,30,LD,M,9,2.457144737,2,4,4,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
31,31,LD,M,9,2.531975935,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
384,31,LD,M,9,2.531975935,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
32,32,LD,F,9,2.570241851,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
385,32,LD,F,9,2.570241851,2,1,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
386,32,LD,F,9,2.570241851,3,3,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
387,32,LD,F,9,2.570241851,3,3,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
388,32,LD,F,9,2.570241851,3,2,4,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
389,32,LD,F,9,2.570241851,3,3,5,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
33,33,LD,M,9,2.396477618,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
390,33,LD,M,9,2.396477618,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
391,33,LD,M,9,2.396477618,1,2,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
392,33,LD,M,9,2.396477618,1,1,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
34,34,LD,M,9,2.420562618,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
393,34,LD,M,9,2.420562618,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
394,34,LD,M,9,2.420562618,2,2,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
395,34,LD,M,9,2.420562618,2,2,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
35,35,LD,F,9,NA,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
36,36,LD,M,9,2.365525036,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
396,36,LD,M,9,2.365525036,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
397,36,LD,M,9,2.365525036,1,1,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
398,36,LD,M,9,2.365525036,2,2,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
37,37,LD,M,9,2.466993,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
399,37,LD,M,9,2.466993,2,1,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
400,37,LD,M,9,2.466993,2,2,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
38,38,LD,F,9,2.803868302,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
401,38,LD,F,9,2.803868302,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
402,38,LD,F,9,2.803868302,1,1,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
39,39,LD,M,9,2.511800935,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
403,39,LD,M,9,2.511800935,2,1,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
404,39,LD,M,9,2.511800935,2,2,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
40,40,LD,M,9,NA,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
41,41,LD,M,9,2.318684502,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
405,41,LD,M,9,2.318684502,2,3,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
42,42,LD,F,4,2.693927053,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
406,42,LD,F,4,2.693927053,1,2,1,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
407,42,LD,F,4,2.693927053,1,1,2,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
408,42,LD,F,4,2.693927053,2,2,3,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
43,43,LD,M,4,2.420562618,0,1,0,7/16/1991,1,Pontia_occidentalis,Corfu_WA,Corfu.1991_2
