RECNUM,ID,TREAT,SEX,FAM,FWL,AGE,WEAR,NRECAP,REL_DATE,COND_0,SPECIES,SITE,NOTEBOOK
1,94,SD,M,150,2.729176731,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
2,95,SD,M,150,2.401275369,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
3,97,SD,F,150,2.707430418,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
4,96,SD,M,150,2.559981418,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
5,98,SD,F,150,2.567672894,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
6,99,SD,F,150,2.153296664,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
7,93,SD,M,150,NA,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
8,100,SD,M,150,NA,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
9,15,SD,F,1,NA,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
10,21,SD,F,1,2.504276824,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
11,53,SD,F,1,2.723723832,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
12,45,SD,F,1,2.534509178,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
13,37,SD,F,1,NA,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
14,14,SD,M,1,2.542124122,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
15,34,SD,F,1,NA,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
16,52,SD,F,1,NA,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
17,31,SD,M,1,NA,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
18,32,SD,F,1,NA,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
19,6,SD,F,1,NA,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
20,49,SD,F,1,2.501773799,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
21,33,SD,F,1,2.420562618,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
22,51,SD,M,1,NA,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
23,17,SD,F,1,2.351374381,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
24,50,SD,M,1,NA,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
25,46,SD,F,1,2.48929615,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
26,47,SD,F,1,2.52186826,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
27,48,SD,F,1,2.457144737,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
28,22,SD,F,1,NA,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
29,23,SD,F,1,2.593478436,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
30,29,SD,F,1,NA,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
31,30,SD,M,1,2.46452724,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
32,44,SD,M,1,2.526917044,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
33,36,SD,M,1,2.430264259,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
34,28,SD,M,1,2.52186826,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
35,16,SD,F,1,2.449784349,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
36,24,SD,M,1,2.542124122,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
37,38,SD,F,1,2.56254268,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
38,25,SD,M,1,2.288736686,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
39,26,SD,F,1,2.427835209,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
40,43,SD,M,1,2.624787656,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
41,40,SD,F,1,2.386910854,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
42,42,SD,F,1,2.531975935,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
43,9,SD,M,1,2.386910854,0,1,0,5/4/1992,1,Pontia_occidentalis,Corfu_WA,Corfu.1992_1
