"SPECIES","SITE","ID","SEX","TREAT","REL_DATE","COND_0","CAPTIME_0","BEH_0","FWL","MEL_GRP","FDS","FT","FT6","FM2","FM6","FB","DS","HB","PV","AV","DV","FV","NOTEBOOK","NRECAP","RECAP_DATE"
"Pontia_occidentalis","Corfu_WA",238,"M","NatVar","6/21/89",2,1249,"F",2.264,3,0.179,0.053,0.118,0.348,0.161,0.551,0.127,0.478,0.657,0.274,0.402,0.428,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",48,"M","NatVar","6/21/89",2,1103,"F",2.177,1,0.247,0.057,0.175,0.308,0.143,0.54,0.19,0.571,0.444,0.252,0.263,0.313,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",39,"F","NatVar","6/21/89",2,1029,"N",2.246,3,0.273,0.073,0.16,0.414,0.195,0.471,0.119,0.658,0.663,0.5,0.493,0.597,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",50,"F","NatVar","6/21/89",2,1122,"B",2.308,3,0.319,0.082,0.927,0.372,0.902,0.878,0.597,0.67,0.6,0.419,0.682,0.523,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",239,"M","NatVar","6/21/89",3,1252,"F",2.161,1,0.271,0.052,0.217,0.299,0.16,0.711,0.288,0.643,0.346,0.288,0.265,0.414,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",49,"M","NatVar","6/21/89",2,1107,"F",2.146,2,0.174,0.083,0.179,0.207,0.15,0.679,0.159,0.743,0.541,0.438,0.391,0.595,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",42,"F","NatVar","6/21/89",2,1041,"F",2.061,1,0.358,0.113,0.246,0.301,0.182,0.602,0.384,0.799,0.755,0.626,0.635,0.666,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",56,"M","NatVar","6/21/89",NA,NA,NA,2.278,NA,0.194,0.071,0.207,0.372,0.129,0.46,0,0.661,0.488,0.368,0.395,0.481,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",35,"M","NatVar","6/21/89",1,1000,"MC",2.257,1,0.214,0.082,0.238,0.4,0.195,0.323,-0.128,0.572,0.402,0.309,0.305,0.692,"Corfu.NatVar.1989",0,171
"Pontia_occidentalis","Corfu_WA",10056,"M","NatVar","6/21/89",2,1206,"F",2.67,2,0.265,0.069,0.197,0.396,0.177,0.62,0.155,0.674,0.469,0.367,0.389,0.481,"Corfu.NatVar.1989",0,171
