RECNUM,SPECIES,SITE,ID,SEX,TREAT,FWL,BUT_WT,WTDBUT_WT,REL_DATE,COND_0,RECAP_DATE,NRECAP,BEH,TIME,WEAR,NOTEBOOK
1,Pontia_occidentalis,Corfu_WA,1,M,WTD,2.4,68,78,1994-06-08,1,159,0,NA,NA,NA,Corfu.Weighted.1994
2,Pontia_occidentalis,Corfu_WA,2,M,CTL,2.6,73,69,1994-06-08,1,159,0,NA,NA,NA,Corfu.Weighted.1994
3,Pontia_occidentalis,Corfu_WA,5,M,WTD,2.2,53,67,1994-06-08,1,159,0,NA,NA,NA,Corfu.Weighted.1994
4,Pontia_occidentalis,Corfu_WA,6,M,CTL,2.5,84,75,1994-06-08,2,159,0,NA,NA,NA,Corfu.Weighted.1994
5,Pontia_occidentalis,Corfu_WA,7,M,WTD,2.3,49,65,1994-06-08,1,159,0,NA,NA,NA,Corfu.Weighted.1994
6,Pontia_occidentalis,Corfu_WA,8,M,CTL,2.5,81,76,1994-06-08,2,159,0,NA,NA,NA,Corfu.Weighted.1994
7,Pontia_occidentalis,Corfu_WA,9,M,WTD,2.4,77,89,1994-06-08,1,159,0,NA,NA,NA,Corfu.Weighted.1994
8,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.4,74,71,1994-06-08,1,159,0,NA,NA,NA,Corfu.Weighted.1994
9,Pontia_occidentalis,Corfu_WA,11,M,WTD,2.3,65,70,1994-06-08,1,159,0,NA,NA,NA,Corfu.Weighted.1994
10,Pontia_occidentalis,Corfu_WA,12,M,CTL,2.4,79,72,1994-06-08,2,159,0,NA,NA,NA,Corfu.Weighted.1994
11,Pontia_occidentalis,Corfu_WA,13,M,WTD,2.4,67,77,1994-06-08,2,159,0,NA,NA,NA,Corfu.Weighted.1994
12,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.5,71,67,1994-06-08,3,159,0,NA,NA,NA,Corfu.Weighted.1994
13,Pontia_occidentalis,Corfu_WA,15,M,WTD,2.4,77,89,1994-06-08,1,159,0,NA,NA,NA,Corfu.Weighted.1994
14,Pontia_occidentalis,Corfu_WA,16,M,CTL,2.6,65,62,1994-06-08,2,159,0,NA,NA,NA,Corfu.Weighted.1994
15,Pontia_occidentalis,Corfu_WA,17,M,WTD,2.5,76,87,1994-06-08,1,159,0,NA,NA,NA,Corfu.Weighted.1994
16,Pontia_occidentalis,Corfu_WA,18,M,CTL,2.4,64,60,1994-06-08,2,159,0,NA,NA,NA,Corfu.Weighted.1994
17,Pontia_occidentalis,Corfu_WA,19,M,WTD,2.4,67,85,1994-06-08,1,159,0,NA,NA,NA,Corfu.Weighted.1994
18,Pontia_occidentalis,Corfu_WA,20,M,CTL,2.4,64,59,1994-06-08,2,159,0,NA,NA,NA,Corfu.Weighted.1994
19,Pontia_occidentalis,Corfu_WA,21,M,WTD,2.4,72,86,1994-06-08,1,159,0,NA,NA,NA,Corfu.Weighted.1994
20,Pontia_occidentalis,Corfu_WA,22,M,CTL,2.4,68,62,1994-06-08,2,159,0,NA,NA,NA,Corfu.Weighted.1994
21,Pontia_occidentalis,Corfu_WA,23,M,WTD,2.4,93,105,1994-06-08,1,159,0,NA,NA,NA,Corfu.Weighted.1994
22,Pontia_occidentalis,Corfu_WA,24,M,CTL,2.5,61,54,1994-06-08,1,159,0,NA,NA,NA,Corfu.Weighted.1994
23,Pontia_occidentalis,Corfu_WA,25,M,WTD,2.3,53,67,1994-06-08,2,159,0,NA,NA,NA,Corfu.Weighted.1994
24,Pontia_occidentalis,Corfu_WA,26,M,CTL,2.3,57,55,1994-06-08,3,159,0,NA,NA,NA,Corfu.Weighted.1994
25,Pontia_occidentalis,Corfu_WA,27,M,WTD,2.5,68,81,1994-06-08,2,159,0,NA,NA,NA,Corfu.Weighted.1994
26,Pontia_occidentalis,Corfu_WA,28,M,CTL,2.5,78,75,1994-06-08,2,159,0,NA,NA,NA,Corfu.Weighted.1994
27,Pontia_occidentalis,Corfu_WA,29,M,WTD,2.1,69,81,1994-06-08,2,159,0,NA,NA,NA,Corfu.Weighted.1994
28,Pontia_occidentalis,Corfu_WA,30,M,CTL,2.3,63,58,1994-06-08,2,159,0,NA,NA,NA,Corfu.Weighted.1994
