RECNUM,SPECIES,SITE,ID,SEX,TREAT,FWL,BUT_WT,WTDBUT_WT,REL_DATE,COND_0,RECAP_DATE,NRECAP,BEH,TIME,WEAR,NOTEBOOK
1,Pontia_occidentalis,Corfu_WA,1,M,WTD,2.4,66,72,1995-05-15,3,135,0,NA,NA,NA,Corfu.Weighted.1995
2,Pontia_occidentalis,Corfu_WA,2,M,CTL,2.4,65,63,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
3,Pontia_occidentalis,Corfu_WA,3,M,WTD,2.4,66,71,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
4,Pontia_occidentalis,Corfu_WA,4,M,CTL,2.4,73,71,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
5,Pontia_occidentalis,Corfu_WA,5,M,WTD,2.4,66,72,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
6,Pontia_occidentalis,Corfu_WA,6,M,CTL,2.4,68,64,1995-05-15,3,135,0,NA,NA,NA,Corfu.Weighted.1995
7,Pontia_occidentalis,Corfu_WA,7,M,WTD,2.4,65,78,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
8,Pontia_occidentalis,Corfu_WA,8,M,CTL,2.4,80,75,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
9,Pontia_occidentalis,Corfu_WA,9,M,WTD,2.3,61,65,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
10,Pontia_occidentalis,Corfu_WA,10,M,CTL,2.4,72,64,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
11,Pontia_occidentalis,Corfu_WA,12,M,CTL,2.5,74,64,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
12,Pontia_occidentalis,Corfu_WA,13,M,WTD,2.4,77,83,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
13,Pontia_occidentalis,Corfu_WA,14,M,CTL,2.3,65,60,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
14,Pontia_occidentalis,Corfu_WA,15,M,WTD,2.4,82,81,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
15,Pontia_occidentalis,Corfu_WA,16,M,CTL,2.4,68,69,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
16,Pontia_occidentalis,Corfu_WA,17,M,WTD,2.5,83,88,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
17,Pontia_occidentalis,Corfu_WA,18,M,CTL,2.4,81,80,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
18,Pontia_occidentalis,Corfu_WA,19,M,WTD,2.4,71,74,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
19,Pontia_occidentalis,Corfu_WA,20,M,CTL,2.5,89,77,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
20,Pontia_occidentalis,Corfu_WA,21,M,WTD,2.2,66,72,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
21,Pontia_occidentalis,Corfu_WA,22,M,CTL,2.3,92,86,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
22,Pontia_occidentalis,Corfu_WA,23,M,WTD,2.4,77,86,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
23,Pontia_occidentalis,Corfu_WA,24,M,CTL,2.4,64,61,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
24,Pontia_occidentalis,Corfu_WA,25,M,WTD,2.2,90,98,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
25,Pontia_occidentalis,Corfu_WA,26,M,CTL,2.3,74,72,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
26,Pontia_occidentalis,Corfu_WA,27,M,WTD,2.4,73,79,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
27,Pontia_occidentalis,Corfu_WA,28,M,CTL,2.4,64,67,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
28,Pontia_occidentalis,Corfu_WA,30,M,CTL,2.4,77,68,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
29,Pontia_occidentalis,Corfu_WA,31,M,WTD,2.4,69,72,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
30,Pontia_occidentalis,Corfu_WA,32,M,CTL,2.3,73,65,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
31,Pontia_occidentalis,Corfu_WA,33,M,WTD,2.4,68,84,NA,1,NA,0,NA,NA,NA,Corfu.Weighted.1995
32,Pontia_occidentalis,Corfu_WA,34,M,CTL,2.4,61,57,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
33,Pontia_occidentalis,Corfu_WA,35,M,WTD,2.5,71,80,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
34,Pontia_occidentalis,Corfu_WA,36,M,CTL,2.5,85,80,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
35,Pontia_occidentalis,Corfu_WA,37,M,WTD,2.5,76,81,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
36,Pontia_occidentalis,Corfu_WA,39,M,WTD,2.4,64,70,1995-05-15,3,135,0,NA,NA,NA,Corfu.Weighted.1995
37,Pontia_occidentalis,Corfu_WA,40,M,CTL,2.4,69,63,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
38,Pontia_occidentalis,Corfu_WA,41,M,WTD,2.4,69,75,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
39,Pontia_occidentalis,Corfu_WA,42,M,CTL,2.4,79,67,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
40,Pontia_occidentalis,Corfu_WA,43,M,WTD,2.4,81,134,1995-05-15,3,135,0,NA,NA,NA,Corfu.Weighted.1995
41,Pontia_occidentalis,Corfu_WA,44,M,CTL,2.4,72,69,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
42,Pontia_occidentalis,Corfu_WA,45,M,WTD,2.5,69,78,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
43,Pontia_occidentalis,Corfu_WA,46,M,CTL,2.3,70,67,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
44,Pontia_occidentalis,Corfu_WA,47,M,WTD,2.5,74,79,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
45,Pontia_occidentalis,Corfu_WA,48,M,CTL,2.4,73,72,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
46,Pontia_occidentalis,Corfu_WA,49,M,WTD,2.3,69,81,1995-05-15,3,135,0,NA,NA,NA,Corfu.Weighted.1995
47,Pontia_occidentalis,Corfu_WA,50,M,CTL,2.3,68,64,1995-05-15,3,135,0,NA,NA,NA,Corfu.Weighted.1995
48,Pontia_occidentalis,Corfu_WA,51,M,WTD,2.4,61,70,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
49,Pontia_occidentalis,Corfu_WA,52,M,CTL,2.3,71,67,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
50,Pontia_occidentalis,Corfu_WA,53,M,WTD,2.4,68,73,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
51,Pontia_occidentalis,Corfu_WA,54,M,CTL,2.3,54,49,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
52,Pontia_occidentalis,Corfu_WA,55,M,WTD,2.5,81,86,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
53,Pontia_occidentalis,Corfu_WA,56,M,CTL,2.4,72,65,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
54,Pontia_occidentalis,Corfu_WA,57,M,WTD,2.2,48,55,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
55,Pontia_occidentalis,Corfu_WA,58,M,CTL,2.3,72,72,1995-05-15,3,135,0,NA,NA,NA,Corfu.Weighted.1995
56,Pontia_occidentalis,Corfu_WA,59,M,WTD,2.4,74,80,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
57,Pontia_occidentalis,Corfu_WA,60,M,CTL,2.4,72,65,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
58,Pontia_occidentalis,Corfu_WA,61,M,WTD,2.4,72,81,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
59,Pontia_occidentalis,Corfu_WA,62,M,CTL,2.4,73,64,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
60,Pontia_occidentalis,Corfu_WA,63,M,WTD,2.4,73,79,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
61,Pontia_occidentalis,Corfu_WA,64,M,CTL,2.4,76,73,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
62,Pontia_occidentalis,Corfu_WA,65,M,WTD,2.3,66,80,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
63,Pontia_occidentalis,Corfu_WA,66,M,CTL,2.4,68,60,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
64,Pontia_occidentalis,Corfu_WA,67,M,WTD,2.4,71,69,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
65,Pontia_occidentalis,Corfu_WA,68,M,CTL,2.4,70,69,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
66,Pontia_occidentalis,Corfu_WA,69,M,WTD,2.4,69,69,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
67,Pontia_occidentalis,Corfu_WA,70,M,CTL,2.3,63,62,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
68,Pontia_occidentalis,Corfu_WA,71,M,WTD,2.6,85,94,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
69,Pontia_occidentalis,Corfu_WA,72,M,CTL,2.5,88,82,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
70,Pontia_occidentalis,Corfu_WA,73,F,WTD,2.5,110,117,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
71,Pontia_occidentalis,Corfu_WA,74,F,CTL,2.6,109,107,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
72,Pontia_occidentalis,Corfu_WA,75,F,WTD,2.6,111,118,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
73,Pontia_occidentalis,Corfu_WA,76,F,CTL,2.5,76,66,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
74,Pontia_occidentalis,Corfu_WA,77,F,WTD,2.5,111,111,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
75,Pontia_occidentalis,Corfu_WA,78,F,CTL,2.4,100,93,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
76,Pontia_occidentalis,Corfu_WA,79,F,WTD,2.3,81,87,1995-05-15,2,135,0,NA,NA,NA,Corfu.Weighted.1995
77,Pontia_occidentalis,Corfu_WA,80,F,CTL,2.4,100,93,1995-05-15,3,135,0,NA,NA,NA,Corfu.Weighted.1995
78,Pontia_occidentalis,Corfu_WA,81,F,WTD,2.6,126,130,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
79,Pontia_occidentalis,Corfu_WA,82,F,CTL,2.4,90,89,1995-05-15,1,135,0,NA,NA,NA,Corfu.Weighted.1995
