"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-01","36","20",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-02","26","10",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-03","28","12",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-04","29","-6",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-05","18","12",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-06","18","12",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-07","19","16",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-08","22","10",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-09","24","20",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-10","26","22",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-11","32","28",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-12","41","31",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-13","46","37",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-14","51","33",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-15","48","35",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-16","50","32",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-17","42","30",
"USC00456215","OTHELLO 6 ESE, WA US","46.78861","-119.04611","362.7","1991-01-18","36","32",
