STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN,TOBS
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/1/91,36,20,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/2/91,26,10,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/3/91,28,12,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/4/91,29,-6,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/5/91,18,12,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/6/91,18,12,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/7/91,19,16,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/8/91,22,10,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/9/91,24,20,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/10/91,26,22,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/11/91,32,28,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/12/91,41,31,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/13/91,46,37,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/14/91,51,33,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/15/91,48,35,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/16/91,50,32,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/17/91,42,30,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/18/91,36,32,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/19/91,37,28,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/21/91,,20,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/22/91,38,21,
USC00456215,"OTHELLO 6 ESE, WA US",46.78861,-119.04611,362.7,1/23/91,39,22,
